fold,val_f1,val_exact,val_hamming,val_mc_acc
1,0.6616208863258153,0.23746452223273415,0.7432355723746452,0.23746452223273415
2,0.7163398474972297,0.3903225806451613,0.7311827956989247,0.3903225806451613
3,0.6793105118238969,0.2776957163958641,0.6827178729689808,0.2776957163958641
4,0.6906697407007552,0.3750966744006187,0.7726991492652746,0.3750966744006187
5,0.7986671506636032,0.3107535986452159,0.7704487722269263,0.3107535986452159
