unix_time_s,dt_s,UTC,LOCAL,EMG1_Raw,EMG2_Raw,EMG3_Raw,EMG4_Raw,EMG5_Raw,EMG6_Raw,EMG7_Raw,EMG8_Raw,EMG1_Filtered,EMG2_Filtered,EMG3_Filtered,EMG4_Filtered,EMG5_Filtered,EMG6_Filtered,EMG7_Filtered,EMG8_Filtered,Accel1_Raw,Accel2_Raw,Accel3_Raw,Gyro1_Raw,Gyro2_Raw,Gyro3_Raw,Battery
1774822813.8165758,,2026-03-29T22:20:13.816,2026-03-29T18:20:13.816,-32868.945,-46157.625,-85457.745,-49898.7,-12077.955,-17307.18,6860.384999999999,-49619.564999999995,0.10790392333019933,0.7944600780309966,-0.41146879062726854,-0.8417578079594621,-0.05974615908627228,0.2144416345656175,0.06573253761730738,-0.13807647052000593,0.94567629,-0.05322252,0.34045323,-12.31482,-3.5098,-8.6982,69.0
1774822813.816588,1.2159347534179688e-05,2026-03-29T22:20:13.816,2026-03-29T18:20:13.816,-32871.869999999995,-46161.54,-85467.78,-49907.34,-12085.38,-17317.845,6862.275,-49623.93,1.1076888912862186,2.800034949435917,1.6562330449946272,-1.898538745515456,-1.0478074313559462,-0.23492366775331022,1.0331869320683185,-1.63427437686917,0.94567629,-0.05322252,0.34045323,-12.31482,-3.5098,-8.6982,69.0
1774822813.8235,0.0069119930267333984,2026-03-29T22:20:13.823,2026-03-29T18:20:13.823,-32873.49,-46161.045,-85468.00499999999,-49904.505,-12082.949999999999,-17316.855,6858.855,-49632.435,1.7807017987587188,3.628328492234347,3.0476043791270633,-2.016455178433156,-1.6060343374724333,-0.6880086816003577,1.500694154198794,-2.244987518301351,0.94567629,-0.05322252,0.34045323,-12.31482,-3.5098,-8.6982,69.0
1774822813.8235183,1.8358230590820312e-05,2026-03-29T22:20:13.823,2026-03-29T18:20:13.823,-32867.415,-46156.994999999995,-85463.73,-49898.564999999995,-12073.455,-17298.0,6863.804999999999,-49630.59,1.886802385779826,2.818178753050924,3.0352652809958722,-1.170787525866298,-1.5764704733592034,-1.09059526376998,1.1748806251487847,-1.5894357724337862,0.94567629,-0.05322252,0.34045323,-12.31482,-3.5098,-8.6982,69.0
1774822813.823536,1.7642974853515625e-05,2026-03-29T22:20:13.823,2026-03-29T18:20:13.823,-32869.17,-46158.705,-85466.655,-49901.985,-12074.49,-17292.915,6864.389999999999,-49631.939999999995,1.3353989458464761,0.6494697474984708,1.536087538586602,0.1938308101848219,-1.010205685667545,-1.2979130341709137,0.17477387575916126,0.019742894667425657,0.94567629,-0.05322252,0.34045323,-12.31482,-3.5098,-8.6982,69.0
1774822813.8235433,7.3909759521484375e-06,2026-03-29T22:20:13.823,2026-03-29T18:20:13.823,-32866.38,-46154.475,-85460.76,-49896.27,-12069.765,-17292.329999999998,6868.3949999999995,-49628.88,0.24816145733710462,-1.9451501436111849,-0.8098529073607528,1.3950401838544078,-0.12745754312600135,-1.1226877645839886,-1.0093902919265727,1.7272290196624658,0.94567629,-0.05322252,0.34045323,-12.31482,-3.5098,-8.6982,69.0
1774822813.833186,0.009642601013183594,2026-03-29T22:20:13.833,2026-03-29T18:20:13.833,-32868.315,-46153.935,-85456.305,-49890.015,-12065.175,-17288.01,6871.905,-49627.125,-1.036469762972066,-3.7818336380051334,-2.9103829460422364,1.8569875868307577,0.7675813743023246,-0.4609897768243548,-1.7566067310256417,2.5851650147551553,0.94567629,-0.05322252,0.34045323,-12.31482,-3.5098,-8.6982,69.0
1774822813.833208,2.2172927856445312e-05,2026-03-29T22:20:13.833,2026-03-29T18:20:13.833,-32875.02,-46161.18,-85465.62,-49896.18,-12070.17,-17292.915,6869.384999999999,-49628.34,-2.047627135576481,-3.967559752503026,-3.729143353635527,1.3921182012412723,1.3844776777425427,0.5794692213228624,-1.6366620858024228,2.0672225401967568,0.94567629,-0.05322252,0.34045323,-12.31482,-3.5098,-8.6982,69.0
1774822813.8332264,1.8358230590820312e-05,2026-03-29T22:20:13.833,2026-03-29T18:20:13.833,-32880.015,-46168.02,-85476.645,-49908.78,-12080.34,-17301.69,6864.795,-49627.935,-2.348716169797104,-2.3335420389123187,-2.7944428841932734,0.28006220681048216,1.5296505658608612,1.643391805539944,-0.6476329921823951,0.37183041849216486,0.9436011,-0.051208365,0.3405753,-14.817459999999999,-4.48644,-7.202719999999999,69.0
1774822813.8332343,7.867813110351562e-06,2026-03-29T22:20:13.833,2026-03-29T18:20:13.833,-32876.955,-46168.38,-85481.955,-49914.854999999996,-12084.795,-17305.155,6867.9,-49627.799999999996,-1.7307859560969168,0.45044441717914074,-0.45986893910727283,-0.8910980633376797,1.1579886992034045,2.2387369522308003,0.7584782006276926,-1.6539676847405647,0.9436011,-0.051208365,0.3405753,-14.817459999999999,-4.48644,-7.202719999999999,69.0
