unix_time_s,dt_s,UTC,LOCAL,EMG1_Raw,EMG2_Raw,EMG3_Raw,EMG4_Raw,EMG5_Raw,EMG6_Raw,EMG7_Raw,EMG8_Raw,EMG1_Filtered,EMG2_Filtered,EMG3_Filtered,EMG4_Filtered,EMG5_Filtered,EMG6_Filtered,EMG7_Filtered,EMG8_Filtered,Accel1_Raw,Accel2_Raw,Accel3_Raw,Gyro1_Raw,Gyro2_Raw,Gyro3_Raw,Battery
1774821980.9810925,,2026-03-29T22:06:20.981,2026-03-29T18:06:20.981,-31621.41,-49516.604999999996,-84445.02,-50201.505,-15131.564999999999,-20519.505,4886.235,-41842.799999999996,0.8027735725893588,1.2642193548176064,1.8133910842052936,1.7107874098618838,1.6015221056777418,1.510064324429162,2.047985492149166,0.2521685906882833,0.0158691,-0.965756805,-0.27856374,1.2818399999999999,10.529399999999999,1.11398,72.0
1774821980.9811227,3.0279159545898438e-05,2026-03-29T22:06:20.981,2026-03-29T18:06:20.981,-31622.715,-49516.65,-84442.905,-50209.784999999996,-15176.789999999999,-20526.885,4915.485,-41840.82,-0.21616405105558617,1.2344734125343577,2.347973989298113,2.423087048067553,3.330104277514919,1.1374963997849543,-5.918972387375389,-4.639194070198006,0.0158691,-0.965756805,-0.27856374,1.2818399999999999,10.529399999999999,1.11398,72.0
1774821980.9854658,0.0043430328369140625,2026-03-29T22:06:20.985,2026-03-29T18:06:20.985,-31624.469999999998,-49519.215,-84443.355,-50210.955,-15157.935,-20532.915,4914.36,-41837.354999999996,-1.2724073592906273,0.4313421887975066,1.497194654229562,1.7754957624461307,3.3306523023917998,-0.10329847034365014,-11.509352026182373,-7.492034659858979,0.0158691,-0.965756805,-0.27856374,1.2818399999999999,10.529399999999999,1.11398,72.0
1774821980.9854817,1.5974044799804688e-05,2026-03-29T22:06:20.985,2026-03-29T18:06:20.985,-31633.02,-49531.185,-84456.27,-50200.29,-15055.65,-20509.29,4883.985,-41846.22,-1.930152894965781,-0.8302861328464886,-0.4305128169528263,-0.04445140984491839,1.5064262549369203,-1.6939496492565014,-12.247325762862133,-7.030598640760173,0.0158691,-0.965756805,-0.27856374,1.2818399999999999,10.529399999999999,1.11398,72.0
1774821980.9889786,0.003496885299682617,2026-03-29T22:06:20.988,2026-03-29T18:06:20.988,-31633.605,-49529.744999999995,-84452.22,-50191.424999999996,-15047.91,-20507.13,4856.804999999999,-41855.22,-1.8547741508655367,-1.9042337750318914,-2.449172375746546,-2.1434708166058662,-1.2514534283014078,-2.7667900249514035,-7.715688112484201,-3.4605818281908887,0.0158691,-0.965756805,-0.27856374,1.2818399999999999,10.529399999999999,1.11398,72.0
1774821980.9889922,1.3589859008789062e-05,2026-03-29T22:06:20.988,2026-03-29T18:06:20.988,-31634.73,-49532.354999999996,-84459.915,-50220.63,-15106.005,-20515.95,4870.08,-41851.979999999996,-0.9776348693137277,-2.1361169086187153,-3.3890211124678418,-3.352275115359974,-3.4887397224168324,-2.5558169328567346,0.23680760260851805,1.6224981511013579,0.0158691,-0.965756805,-0.27856374,1.2818399999999999,10.529399999999999,1.11398,72.0
1774821980.9932528,0.004260540008544922,2026-03-29T22:06:20.993,2026-03-29T18:06:20.993,-31632.164999999997,-49530.915,-84459.375,-50220.45,-15110.955,-20515.41,4891.1849999999995,-41842.215,0.4282501942758977,-1.2366114990099606,-2.545126764918921,-2.8555708291536455,-3.944625277344121,-0.8717169892530644,8.262178688356558,5.953480770704446,0.0158691,-0.965756805,-0.27856374,1.2818399999999999,10.529399999999999,1.11398,72.0
1774821980.993271,1.8358230590820312e-05,2026-03-29T22:06:20.993,2026-03-29T18:06:20.993,-31633.379999999997,-49529.025,-84453.705,-50211.18,-15105.914999999999,-20515.59,4884.615,-41836.77,1.8156316716065724,0.4999359578467186,-0.13095757993927842,-0.6902474273036272,-2.2508629452226385,1.6732094019637143,12.928963009334407,7.618388806988979,0.0158691,-0.965756805,-0.27856374,1.2818399999999999,10.529399999999999,1.11398,72.0
1774821980.9975915,0.004320383071899414,2026-03-29T22:06:20.997,2026-03-29T18:06:20.997,-31633.199999999997,-49528.845,-84452.94,-50212.17,-15109.785,-20521.035,4864.1849999999995,-41840.415,2.5688688806411304,2.2727799471130985,2.733991255097608,2.1766761939504713,0.809221875764206,3.8605382016380716,12.184867173603024,5.910788035994778,0.016174275000000002,-0.96630612,-0.27612234,3.40298,11.078759999999999,0.6867,72.0
1774821980.9976132,2.1696090698242188e-05,2026-03-29T22:06:20.997,2026-03-29T18:06:20.997,-31637.655,-49535.729999999996,-84463.69499999999,-50224.814999999995,-15122.25,-20531.52,4859.91,-41844.015,2.274958430372783,3.140952809444896,4.5393859334553985,4.273607863960673,3.6506301942035027,4.437091523460943,6.24507931239206,1.6354780909926498,0.016174275000000002,-0.96630612,-0.27612234,3.40298,11.078759999999999,0.6867,72.0
1774821981.0031345,0.005521297454833984,2026-03-29T22:06:21.003,2026-03-29T18:06:21.003,-31611.375,-49503.104999999996,-84427.56,-50187.645,-15086.654999999999,-20498.715,4886.955,-41835.465,0.94144340780017,2.5121886986106787,4.166622495083245,4.369357284613469,4.695626732053679,2.799462587064462,-2.471340753939525,-3.27340191030277,0.016174275000000002,-0.96630612,-0.27612234,3.40298,11.078759999999999,0.6867,72.0
1774821981.0031643,2.9802322387695312e-05,2026-03-29T22:06:21.003,2026-03-29T18:06:21.003,-31619.969999999998,-49514.31,-84438.405,-50198.895,-15098.039999999999,-20509.29,4858.605,-41838.885,-0.9510280091410687,0.5040629574117129,1.5378767765222419,2.164023417690406,3.233734232222696,-0.5708692991545732,-10.3339670154614,-6.637941807624925,0.016174275000000002,-0.96630612,-0.27612234,3.40298,11.078759999999999,0.6867,72.0
1774821981.008057,0.004892826080322266,2026-03-29T22:06:21.008,2026-03-29T18:06:21.008,-31638.555,-49524.705,-84444.345,-50203.259999999995,-15100.154999999999,-20508.255,4840.5599999999995,-41868.09,-2.610747472387435,-2.030356193767303,-2.230881216899204,-1.4511487239847753,-0.12961707174295886,-4.196268448015915,-14.010961382192718,-7.015694179177739,0.016174275000000002,-0.96630612,-0.27612234,3.40298,11.078759999999999,0.6867,72.0
1774821981.008077,1.9788742065429688e-05,2026-03-29T22:06:21.008,2026-03-29T18:06:21.008,-31638.465,-49521.104999999996,-84436.65,-50196.555,-15093.314999999999,-20497.23,4888.62,-41872.14,-3.263756930443999,-3.8618206325178526,-5.2993474978699355,-4.7434271332866995,-3.7065621083892153,-6.240159909004717,-11.86958280691533,-4.326202265192808,0.016174275000000002,-0.96630612,-0.27612234,3.40298,11.078759999999999,0.6867,72.0
1774821981.009617,0.0015401840209960938,2026-03-29T22:06:21.009,2026-03-29T18:06:21.009,-31602.42,-49498.2,-84421.17,-50186.205,-15085.529999999999,-20492.82,4946.535,-41820.345,-2.5142118384411023,-3.979563920994678,-5.9997728323752355,-5.966785115376692,-5.563001534963251,-5.423664230212651,-4.68460830926275,0.1516092530869266,0.016174275000000002,-0.96630612,-0.27612234,3.40298,11.078759999999999,0.6867,72.0
1774821981.0096376,2.0503997802734375e-05,2026-03-29T22:06:21.009,2026-03-29T18:06:21.009,-31630.14,-49532.22,-84456.675,-50216.354999999996,-15114.555,-20522.88,4918.23,-41827.14,-0.5685452982880732,-2.1339100770091197,-3.7243655013413637,-4.273469447856725,-4.547777847172557,-1.7692609059307352,4.64460523486343,4.3934516493207,0.016174275000000002,-0.96630612,-0.27612234,3.40298,11.078759999999999,0.6867,72.0
1774821981.0144143,0.004776716232299805,2026-03-29T22:06:21.014,2026-03-29T18:06:21.014,-31631.67,-49533.884999999995,-84459.33,-50213.115,-15109.74,-20519.954999999998,4902.345,-41832.045,1.7987015426991162,0.9594167674081882,0.6625952442599176,-0.23795529336130522,-0.973501777047566,3.2429249609676214,12.262115186143712,6.558061276673805,0.016174275000000002,-0.96630612,-0.27612234,3.40298,11.078759999999999,0.6867,72.0
1774821981.014432,1.7642974853515625e-05,2026-03-29T22:06:21.014,2026-03-29T18:06:21.014,-31623.21,-49521.735,-84443.84999999999,-50198.49,-15094.845,-20505.42,4901.22,-41828.939999999995,3.548901758395391,3.889048414707089,5.14025400099983,4.311854732867837,3.441606482046559,7.257889055864329,14.938848939997058,5.798129797556301,0.016174275000000002,-0.96630612,-0.27612234,3.40298,11.078759999999999,0.6867,72.0
1774821981.0172393,0.0028073787689208984,2026-03-29T22:06:21.017,2026-03-29T18:06:21.017,-31632.164999999997,-49529.205,-84448.395,-50207.445,-15100.83,-20507.355,4882.139999999999,-41838.03,3.836365725134356,5.194718578509674,7.4667732734157575,7.1239271518838745,6.391265224420841,8.148004852481836,11.427040566960239,2.5907400601680566,0.014709435,-0.969418905,-0.27661062000000003,4.77638,9.6901,-0.97664,72.0
1774821981.017252,1.2636184692382812e-05,2026-03-29T22:06:21.017,2026-03-29T18:06:21.017,-31632.93,-49533.119999999995,-84454.875,-50215.905,-15110.685,-20517.84,4873.41,-41834.97,2.4166134472183605,4.093232855780707,6.299559411649513,6.635101125178333,6.172999253628927,5.120667353072919,3.025363372387978,-1.5414688257242726,0.014709435,-0.969418905,-0.27661062000000003,4.77638,9.6901,-0.97664,72.0
1774821981.0219414,0.004689455032348633,2026-03-29T22:06:21.021,2026-03-29T18:06:21.021,-31632.39,-49533.255,-84456.18,-50217.119999999995,-15110.55,-20516.219999999998,4885.245,-41835.869999999995,-0.19137966314799842,0.9229864377132415,1.9405046259576813,2.8178717944792853,2.64319900353828,-0.7383697847308711,-6.893915057170176,-4.76245697258038,0.014709435,-0.969418905,-0.27661062000000003,4.77638,9.6901,-0.97664,72.0
1774821981.0219524,1.0967254638671875e-05,2026-03-29T22:06:21.021,2026-03-29T18:06:21.021,-31635.675,-49532.805,-84454.155,-50214.555,-15109.244999999999,-20517.03,4866.255,-41850.314999999995,-2.8862256862605653,-2.9372323300685954,-3.697694683840633,-2.690221621996861,-2.590311164041035,-6.820688012114344,-14.226905877957229,-5.752225793896748,0.014709435,-0.969418905,-0.27661062000000003,4.77638,9.6901,-0.97664,72.0
1774821981.032303,0.010350704193115234,2026-03-29T22:06:21.032,2026-03-29T18:06:21.032,-31635.989999999998,-49535.82,-84459.51,-50219.505,-15115.23,-20525.579999999998,4860.63,-41849.955,-4.450424676735686,-5.671446871095821,-7.93674419703917,-7.2892359918186616,-6.8928849608363185,-10.154848509007943,-15.821693146543968,-4.252243966733374,0.014709435,-0.969418905,-0.27661062000000003,4.77638,9.6901,-0.97664,72.0
1774821981.032336,3.2901763916015625e-05,2026-03-29T22:06:21.032,2026-03-29T18:06:21.032,-31636.395,-49538.34,-84463.02,-50222.7,-15116.849999999999,-20526.975,4879.71,-41838.479999999996,-4.1040286084755575,-5.88620294959889,-8.613276820600365,-8.6503259062093,-7.922607770985853,-8.855597375369515,-10.821086701710843,-1.0987328547833846,0.014709435,-0.969418905,-0.27661062000000003,4.77638,9.6901,-0.97664,72.0
1774821981.0323646,2.86102294921875e-05,2026-03-29T22:06:21.032,2026-03-29T18:06:21.032,-31625.954999999998,-49525.155,-84447.045,-50206.994999999995,-15099.48,-20506.094999999998,4909.23,-41825.205,-1.892081556252949,-3.3170701515992427,-5.17837137332134,-5.891865781838836,-4.886429426003392,-3.1563158169116505,-1.0990447895114042,2.2340633418669107,0.014709435,-0.969418905,-0.27661062000000003,4.77638,9.6901,-0.97664,72.0
