rank,f1,exact,window,lr,dropout,loss,mixup,swa,n_train,n_val
78,0.8089,0.378,250,0.001,0.4,focal,0.2,True,9202,1359
79,0.8085,0.371,250,0.0005,0.5,focal,0.0,True,9202,1359
80,0.8081,0.343,500,0.0003,0.5,focal,0.0,True,4482,668
81,0.8079,0.422,500,0.0003,0.5,bce,0.0,True,4482,668
82,0.8078,0.388,500,0.0003,0.5,bce,0.2,True,4482,668
83,0.8073,0.415,250,0.0005,0.5,bce,0.2,True,9202,1359
84,0.8072,0.375,250,0.0003,0.6,bce,0.2,True,9202,1359
85,0.8071,0.41,250,0.0003,0.4,bce,0.0,True,9202,1359
86,0.8066,0.35,250,0.0003,0.6,bce,0.0,True,9202,1359
87,0.8063,0.324,250,0.0005,0.4,focal,0.2,True,9202,1359
88,0.806,0.325,250,0.0005,0.6,focal,0.2,True,9202,1359
89,0.8059,0.422,500,0.0005,0.6,bce,0.2,True,4482,668
90,0.8059,0.331,250,0.0003,0.6,focal,0.2,True,9202,1359
91,0.8058,0.407,500,0.001,0.6,bce,0.0,True,4482,668
92,0.8034,0.401,750,0.0005,0.6,focal,0.0,True,2933,441
93,0.8034,0.332,250,0.0005,0.6,focal,0.0,True,9202,1359
94,0.8027,0.409,250,0.0005,0.4,bce,0.0,True,9202,1359
95,0.8022,0.351,250,0.0003,0.4,focal,0.0,True,9202,1359
96,0.7994,0.306,250,0.0003,0.6,focal,0.0,True,9202,1359
97,0.7979,0.39,750,0.0003,0.4,bce,0.2,True,2933,441
98,0.7965,0.338,750,0.0003,0.4,focal,0.2,True,2933,441
99,0.7964,0.305,500,0.0003,0.4,focal,0.0,True,4482,668
100,0.7952,0.379,750,0.0003,0.5,focal,0.2,True,2933,441
101,0.7951,0.342,750,0.0003,0.6,focal,0.0,True,2933,441
102,0.795,0.327,750,0.0003,0.6,focal,0.2,True,2933,441
103,0.795,0.37,250,0.0005,0.6,bce,0.0,True,9202,1359
104,0.7946,0.306,750,0.0003,0.6,bce,0.0,True,2933,441
105,0.7935,0.338,750,0.0003,0.4,focal,0.0,True,2933,441
106,0.7887,0.274,750,0.0005,0.6,bce,0.0,True,2933,441
107,0.7831,0.327,750,0.0003,0.6,bce,0.2,True,2933,441
108,0.7735,0.278,500,0.0003,0.4,bce,0.0,True,4482,668
